id,name,grape,category,origin,price
49,Chateau Musar Musar Jeune 2022,"Cabernet, Syrah, Cinsault",Red,"Bekaa Valley, Lebanon",71
50,Brancatelli Valle delle Stelle 2021,Cabernet Sauvignon,Red,"Tuscany, Italy",60
51,Darioush Caravan 2020,Cabernet Sauvignon,Red,"Napa Valley, California",190
52,Scattered Peaks 2022,Cabernet Sauvignon,Red,"Napa Valley, California",79
53,Domaine de Pierredon Cotes du Rhone 2023,"Grenache, Mourvedre",Red,"Rhone Valley, France",55
54,Can Feixes 2021,"Tempranillo, Merlot",Red,"Penedes, Spain",55
55,Turnbull 2022,Cabernet Sauvignon,Red,"Napa Valley, California",130
56,Ashes & Diamonds Rouge No.5,"Cabernet Franc, Merlot",Red,"Napa Valley, California",160
57,Textbook 2022,Cabernet Sauvignon,Red,"Paso Robles, California",80
58,Stag's Leap Wine Cellars Artemis 2021,Cabernet Sauvignon,Red,"Napa Valley, California",155
59,San Simeon Estate Reserve 2022,Cabernet Sauvignon,Red,"Paso Robles, California",77
60,Clos du Val 2022,Cabernet Sauvignon,Red,"Napa Valley, California",99
61,Daou Soul of a Lion 2019,Cabernet Sauvignon,Red,"Paso Robles, California",290
62,Silver Oak 2019,Cabernet Sauvignon,Red,"Alexander Valley, California",185
63,Silver Oak 2019,Cabernet Sauvignon,Red,"Napa Valley, California",325
64,Cain Five 2009,Red Blend,Red,"Napa Valley, California",275
65,Darioush 2021,Cabernet Sauvignon,Red,"Napa Valley, California",360
66,Darioush 2019,Shiraz,Red,"Napa Valley, California",330
